TIME_PERIOD;GEO;AGE;SEX;Obs_status;Obs_value
2020-W53;CH064;Y80T84;F;P;3
2020-W53;CH064;Y80T84;M;P;1
2020-W53;CH064;Y85T89;T;P;4
2020-W53;CH064;Y85T89;F;P;4
2020-W53;CH064;Y_GE90;T;P;1
2020-W53;CH064;Y_GE90;M;P;1
2020-W53;CH065;_T;T;P;6
2020-W53;CH065;_T;F;P;3
2020-W53;CH065;_T;M;P;3
2020-W53;CH065;Y70T74;T;P;1
2020-W53;CH065;Y70T74;M;P;1
2020-W53;CH065;Y80T84;T;P;2
2020-W53;CH065;Y80T84;F;P;1
2020-W53;CH065;Y80T84;M;P;1
2020-W53;CH065;Y85T89;T;P;2
2020-W53;CH065;Y85T89;F;P;1
2020-W53;CH065;Y85T89;M;P;1
2020-W53;CH065;Y_GE90;T;P;1
2020-W53;CH065;Y_GE90;F;P;1
2020-W53;CH066;_T;T;P;21
2020-W53;CH066;_T;F;P;7
2020-W53;CH066;_T;M;P;14
2020-W53;CH066;Y60T64;T;P;2
2020-W53;CH066;Y60T64;F;P;1
2020-W53;CH066;Y60T64;M;P;1
2020-W53;CH066;Y65T69;T;P;1
2020-W53;CH066;Y65T69;M;P;1
2020-W53;CH066;Y70T74;T;P;4
2020-W53;CH066;Y70T74;M;P;4
